平台,排名,游戏名称,游戏类型,来源,榜单,监控日期,发布时间,开发公司,排名变化,地区
抖音小游戏,5,奇谈镇妖铃,--,引力引擎,抖音小游戏周榜,2026-02-02,周平均排名:7.0,--,新进榜,中国
抖音小游戏,15,清理达人,--,引力引擎,抖音小游戏周榜,2026-02-02,周平均排名:17.0,--,20,中国
抖音小游戏,18,躺平发育,--,引力引擎,抖音小游戏周榜,2026-02-02,周平均排名:18.9,--,18,中国
微信小游戏,1,脑洞大咖,休闲,引力引擎,微信小游戏人气周榜,2026-02-02,周平均排名:1.6,广州指望科技有限公司,35,中国
微信小游戏,2,找个喵,休闲,引力引擎,微信小游戏人气周榜,2026-02-02,周平均排名:1.9,长沙三六互娱网络科技有限公司,新进榜,中国
微信小游戏,3,脑洞大反转,休闲,引力引擎,微信小游戏人气周榜,2026-02-02,周平均排名:5.5,广州指望科技有限公司,新进榜,中国
微信小游戏,5,找茬婆婆,休闲,引力引擎,微信小游戏人气周榜,2026-02-02,周平均排名:7.1,--,新进榜,中国
微信小游戏,6,修勾逃生巨人危机,休闲,引力引擎,微信小游戏人气周榜,2026-02-02,周平均排名:8.3,深圳市天善力思科技有限公司,17,中国
微信小游戏,8,抽卡大佬,休闲,引力引擎,微信小游戏人气周榜,2026-02-02,周平均排名:9.5,--,新进榜,中国
微信小游戏,9,猎梦保卫战,休闲,引力引擎,微信小游戏人气周榜,2026-02-02,周平均排名:10.0,实丰卓越（深圳）传媒有限公司,新进榜,中国
微信小游戏,11,掌上消方块,休闲,引力引擎,微信小游戏人气周榜,2026-02-02,周平均排名:14.2,--,79,中国
微信小游戏,12,婆婆来找茬,休闲,引力引擎,微信小游戏人气周榜,2026-02-02,周平均排名:17.0,个人开发者,12,中国
微信小游戏,14,挑战消方块,休闲,引力引擎,微信小游戏人气周榜,2026-02-02,周平均排名:17.0,--,新进榜,中国
